epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.0427,1.74529,2.10949,1.2885,0.80271,0.19736,0.23001,0.13481,1.64371,1.70176,1.31792,0.0671222,0.000332099,0.000332099
2,82.3255,1.80393,1.80647,1.30178,0.81821,0.2173,0.24873,0.14836,1.53586,1.779,1.24341,0.034109,0.000652257,0.000652257
3,122.342,1.80433,1.87904,1.3322,0.79814,0.21072,0.23107,0.13963,1.53098,2.93051,1.24874,0.00108267,0.000959214,0.000959214
